2025-12-08T14:46:18.438955,162,438,438,blindspot_overflow_death,0.389679,-11.427565
2025-12-08T14:46:18.439257,150,439,439,blindspot_overflow_death,0.412873,-11.06591
2025-12-08T14:46:18.439330,194,439,439,blindspot_overflow_death,0.297367,-8.06834
2025-12-08T14:46:18.439359,11,440,440,blindspot_overflow_death,0.084655,-2.079392
2025-12-08T14:46:18.439467,79,440,440,blindspot_overflow_death,0.040105,-0.973221
2025-12-08T14:46:18.439750,58,441,441,blindspot_overflow_death,-0.327442,7.211077
2025-12-08T14:46:18.439794,87,441,441,blindspot_overflow_death,-0.095234,2.059574
2025-12-08T14:46:18.439817,100,441,441,blindspot_overflow_death,0.079219,-1.720397
2025-12-08T14:46:18.440085,75,442,442,blindspot_overflow_death,0.508136,-9.952705
2025-12-08T14:46:18.440111,92,442,442,blindspot_overflow_death,0.206686,-4.063259
2025-12-08T14:46:18.440292,8,443,443,blindspot_overflow_death,0.330198,-5.830579
2025-12-08T14:46:18.440309,19,443,443,blindspot_overflow_death,0.458518,-7.860595
2025-12-08T14:46:18.440391,73,443,443,blindspot_overflow_death,0.605078,-10.49917
2025-12-08T14:46:18.440418,91,443,443,blindspot_overflow_death,0.272199,-4.798955
2025-12-08T14:46:18.440428,97,443,443,blindspot_overflow_death,-0.022591,0.396248
2025-12-08T14:46:18.440671,57,444,444,blindspot_overflow_death,0.304164,-4.743294
2025-12-08T14:46:18.440742,111,444,444,blindspot_overflow_death,-0.300306,4.70751
2025-12-08T14:46:18.440754,117,444,444,blindspot_overflow_death,0.112469,-1.786225
2025-12-08T14:46:18.440917,26,445,445,blindspot_overflow_death,-0.252529,3.601949
2025-12-08T14:46:18.441011,94,445,445,blindspot_overflow_death,0.698259,-9.812656
2025-12-08T14:46:18.441017,96,445,445,blindspot_overflow_death,-0.12223,1.771139
2025-12-08T14:46:18.441089,144,445,445,blindspot_overflow_death,0.373758,-5.487841
2025-12-08T14:46:18.441103,152,445,445,blindspot_overflow_death,0.322223,-4.691679
2025-12-08T14:46:18.441134,171,445,445,blindspot_overflow_death,-0.251496,3.625543
2025-12-08T14:46:18.441388,154,446,446,blindspot_overflow_death,0.417639,-5.60564
2025-12-08T14:46:18.441928,145,448,448,blindspot_overflow_death,0.017374,-0.223937
2025-12-08T14:46:18.441983,183,448,448,blindspot_overflow_death,-0.260631,3.416219
2025-12-08T14:46:18.442025,12,449,449,blindspot_overflow_death,-0.312087,4.249154
2025-12-08T14:46:18.442145,102,449,449,blindspot_overflow_death,-0.382268,5.137629
2025-12-08T14:46:18.442159,109,449,449,blindspot_overflow_death,-0.422477,5.712244
2025-12-08T14:46:18.442515,169,450,450,blindspot_overflow_death,-0.361857,5.204824
2025-12-08T14:46:18.442639,55,451,451,blindspot_overflow_death,-0.369786,5.89602
2025-12-08T14:46:18.442690,98,451,451,blindspot_overflow_death,0.016966,-0.273969
2025-12-08T14:46:18.442783,166,451,451,blindspot_overflow_death,0.332828,-5.357792
2025-12-08T14:46:18.442817,189,451,451,blindspot_overflow_death,0.386382,-6.215565
2025-12-08T14:46:18.442953,89,452,452,blindspot_overflow_death,-0.160476,2.937107
2025-12-08T14:46:18.443006,132,452,452,blindspot_overflow_death,-0.294458,5.24702
2025-12-08T14:46:18.443046,160,452,452,blindspot_overflow_death,-0.574963,10.30183
2025-12-08T14:46:18.443163,46,453,453,blindspot_overflow_death,-0.66777,13.257734
2025-12-08T14:46:18.443243,114,453,453,blindspot_overflow_death,-0.412912,8.506809
2025-12-08T14:46:18.443314,167,453,453,blindspot_overflow_death,-0.423172,8.691932
2025-12-08T14:46:18.443340,185,453,453,blindspot_overflow_death,0.026939,-0.550326
2025-12-08T14:46:18.443365,1,454,454,blindspot_overflow_death,-0.494425,11.265734
