t,name,P,R,Xi,death_type
1,HAT-P-2 b,0.706,0.3568,0.3797,alive
1,Kepler-59 c,0.9712,0.0,0.4025,alive
1,Kepler-58 c,0.8117,0.0,0.7178,alive
1,HD 154857 c,0.0,0.9933,0.0959,dead
1,GJ 357 d,0.95,0.0,0.1692,alive
1,Kepler-51 c,0.9668,0.0,0.0974,alive
1,BD-210397 c,0.8418,0.195,0.724,alive
1,Kepler-62 c,0.7231,0.0,0.1164,alive
1,Kepler-62 b,0.7231,0.0,0.5906,alive
1,CHXR 73 b,1.0,0.7713,0.6451,alive
1,FU Tau b,1.0,0.0,0.1958,alive
1,GJ 667 C b,0.98,0.9996,0.4143,alive
1,HD 168443 c,0.0,0.9974,0.5009,dead
1,Kepler-59 b,0.9712,0.0,0.3919,alive
1,Kepler-53 b,0.9714,0.0,0.9097,alive
1,HD 82943 c,0.715,0.8548,0.4863,alive
1,HD 82943 b,0.715,0.0,0.0996,alive
1,UZ For b,0.795,0.8019,0.182,alive
1,Kepler-69 b,0.2217,0.8623,0.6069,alive
1,HIP 5158 c,0.6776,0.0,0.3994,alive
1,HU Aqr AB b,0.6367,0.0,0.0632,alive
1,HD 63433 c,0.9629,0.0,0.3595,alive
1,Kepler-52 c,0.9783,0.0,0.4804,alive
1,Kepler-55 b,0.9291,0.0,0.7876,alive
1,UZ For c,0.795,0.0,0.1261,alive
1,Kepler-413 b,0.6955,0.3104,0.3909,alive
1,Earth,0.9999,0.8593,0.0001,alive
1,Mars,0.9999,0.5973,0.0001,alive
2,Kepler-1167 b,0.7631,0.3249,0.0105,alive
2,Kepler-1740 b,0.5681,0.9538,0.369,alive
2,Kepler-1581 b,0.4462,0.0,0.2368,alive
2,Kepler-644 b,0.5606,0.5344,0.1897,alive
2,Kepler-1752 b,0.5561,0.0,0.1922,alive
2,Kepler-280 c,0.4897,0.756,0.299,alive
2,Kepler-1208 b,0.744,0.3062,0.0628,alive
2,Kepler-263 c,0.8745,0.0,0.1517,alive
2,HD 136352 b,0.1315,0.6978,0.0478,alive
2,Kepler-1101 b,0.6341,0.0,0.3405,alive
2,HD 168746 b,0.0524,0.9573,0.7719,alive
2,HAT-P-7 b,0.4585,0.9953,0.1662,alive
2,Kepler-560 b,0.9593,0.4726,0.7645,alive
2,Kepler-150 d,0.8444,0.4503,0.1685,alive
2,Kepler-498 b,0.63,0.9639,0.5476,alive
2,Kepler-817 b,0.6176,0.0,0.0476,alive
2,Kepler-937 b,0.5403,0.0,0.1828,alive
2,K2-10 b,0.6367,0.2617,0.2484,alive
2,Kepler-571 b,0.6095,0.8064,0.4965,alive
2,Kepler-1458 b,0.6233,0.0,0.2658,alive
2,K2-335 b,0.1608,0.5263,0.2935,alive
2,Kepler-1600 c,0.5811,0.0,0.0662,alive
2,HIP 41378 f,0.3796,0.7962,0.3409,alive
2,Kepler-221 d,0.8799,0.0,0.2937,alive
2,Kepler-626 b,0.4493,0.2428,0.3556,alive
2,K2-39 b,0.7628,0.0,0.5647,alive
2,Kepler-1549 b,0.6519,0.9352,0.1577,alive
2,K2-62 c,0.8162,0.9894,0.5766,alive
2,Kepler-1149 b,0.5816,0.027,0.3696,alive
2,Kepler-1288 b,0.5455,0.0,0.2761,alive
2,Kepler-128 b,0.3789,0.9819,0.5604,alive
2,Kepler-1245 b,0.6865,0.0,0.2855,alive
2,Kepler-1068 b,0.5723,0.2259,0.3158,alive
2,Kepler-311 c,0.8078,0.6443,0.0993,alive
2,Kepler-150 e,0.8444,0.0,0.2029,alive
2,Kepler-272 c,0.0,0.9833,0.6476,dead
2,Kepler-152 c,0.8928,0.0,0.014,alive
2,Kepler-1506 b,0.6498,0.0,0.5096,alive
2,HAT-P-22 b,0.0,0.2495,0.8338,dead
2,K2-25 b,0.9927,0.0,0.3388,alive
2,CoRoT-3 b,0.5164,0.0,0.4601,alive
2,HD 205739 b,0.5329,0.983,0.4199,alive
2,NGTS-10 b,0.5796,0.9353,0.0875,alive
2,HD 224693 b,0.1905,0.6321,0.7096,alive
2,HD 156279 b,0.6486,0.9862,0.0594,alive
2,HD 12661 b,0.0,0.834,0.8354,dead
2,2MASS J12073346-3932539 b,0.9999,0.0,0.0614,alive
2,HD 16417 b,0.0,0.8483,0.4777,dead
2,HD 19994 b,0.4772,0.0,0.284,alive
2,61 Vir b,0.2282,0.1452,0.1401,alive
2,HD 156279 c,0.6486,0.0,0.0284,alive
2,GJ 179 b,0.95,0.0,0.5981,alive
2,GQ Lup b,0.9999,0.3392,0.6206,alive
2,GJ 832 b,0.8899,0.963,0.7813,alive
2,HD 37605 b,0.5158,0.1974,0.1721,alive
2,HD 33283 b,0.1876,0.0,0.0484,alive
2,Kepler-4 b,0.2554,0.0,0.4786,alive
2,HD 9446 b,0.4999,0.7475,0.2719,alive
2,61 Vir c,0.2282,0.806,0.3526,alive
2,61 Vir d,0.2282,0.8935,0.3595,alive
2,HD 134987 c,0.0,0.388,0.5537,dead
2,HD 110014 b,0.34,0.5836,0.002,alive
2,HD 79498 b,0.6713,0.9975,0.0461,alive
2,WASP-43 b,0.8206,0.9831,0.4649,alive
2,HD 45652 b,0.3179,0.0,0.2587,alive
2,HIP 79431 b,0.9159,0.0,0.359,alive
2,HD 3167 b,0.5,0.3858,0.1448,alive
2,GJ 876 b,0.99,0.0,0.4908,alive
2,HD 114783 c,0.5388,0.9797,0.5178,alive
2,HD 47186 c,0.4129,0.9841,0.0712,alive
2,HD 114783 b,0.5967,0.9632,0.4838,alive
2,HD 148156 b,0.1778,0.8583,0.0186,alive
2,HD 12661 c,0.3284,0.0,0.0709,alive
2,HIP 14810 c,0.4011,0.1351,0.4157,alive
2,HIP 14810 b,0.4011,0.5456,0.1854,alive
2,GJ 876 d,0.99,0.9609,0.3455,alive
2,GJ 876 e,0.99,0.9695,0.78,alive
2,gam1 Leo b,0.595,0.4846,0.348,alive
2,HAT-P-12 b,0.8849,0.9966,0.044,alive
2,HD 156411 b,0.2521,0.9144,0.0681,alive
2,HD 8535 b,0.3211,0.9778,0.6313,alive
